Cell line;Test;Transfection Type;miR-92a-3p;SNAIL;SLUG;ZEB1;ECAD;BCAT;VIM;DPYD;TYMS;MTHFR;ERCC1;ERCC2;XRCC1
SW480;0;Mimic;0,775572381;1,48623955;0,968170696;0,994240424;0,841868418;1,670175839;0,546515127;1,229722961;1,135504429;5,917550037;0,73883972;1,123759517;1,37236731
SW480;0;Mimic;1,317984436;0,4735756;0,675174973;0,693355267;0,785491009;0,385552706;1,341022398;0,92873141;0,971531941;1,00695555;1,15135548;1,556529946;1,543993487
SW480;0;Mimic;0,97828948;1,42076374;1,529789694;1,450617005;1,51221856;1,55293775;1,364463056;0,875593611;0,906471353;0,167821563;1,175547906;0,571701243;0,471937156
SW480;1;Mimic;1207,940212;1,17012825;0,775572381;0,431271016;0,185137194;0,332171454;0,728667896;0,791868805;1,196096122;0,52850902;1,407693584;2,60870414;1,091768265
SW480;1;Mimic;768,0199625;0,3038996;0,554144194;0,68380964;0,429778932;0,189464571;0,563830464;0,968170696;0,922316194;0,302498522;0,675174973;5,910717762;0,390032613
SW480;1;Mimic;796,9433325;0,31680492;1,03049202;0,87458267;0,357661483;0,255253031;12,06982901;0,579681895;0,696566663;0,142102122;0,542740071;0,462759122;0,431271016
SW480;0;Inhibitor;2,092975691;1,028113827;0,560583039;0,788218036;0,47963206;2,016239006;0,41322516;1,83612804;1,771535038;2,678948165;1,037659659;1,925188886;1,656724063
SW480;0;Inhibitor;0,69683495;0,907519155;1,38991822;1,232567509;1,494849249;0,707924135;0,94278454;0,422395587;0,596667872;0,431271016;0,968170696;0,959264119;0,443908221
SW480;0;Inhibitor;0,685655385;1,071773463;1,283425898;1,029302237;1,394743666;0,700601832;2,5668518;1,289370308;0,946057647;0,865536561;0,995389679;0,541487523;1,359742373
SW480;1;Inhibitor;0,035952159;2,077718207;0,768437591;0,960372945;1,132883885;2,473693347;0,996540263;0,821690315;0,795536484;0,880665874;0,958156574;3,82378127;2,20126576
SW480;1;Inhibitor;0,014087462;1,711190051;0,545253866;0,973779252;0,986232704;0,676736762;0,870550563;0,512870561;0,267016352;0,538368784;1,03049202;1,717130873;0,385107556
SW480;1;Inhibitor;0,007117348;0,604997045;0,812252396;0,769325838;0,526680518;0,5670967;0,744838732;0,52183538;0,380244688;0,3360311;0,701411667;0,195467411;0,230579048
SW620;0;Mimic;1,304854449;2,505328877;4,208579393;1,086734863;1,717130873;0,364333948;1,467472363;1,721102874;0,617709319;1,815038311;0,830278167;0,525465032;1,310393404
SW620;0;Mimic;0,592090204;1,602139755;0,227404598;1,361314116;1,031683179;0,839925535;0,499422711;0,672839045;1,180992661;0,982820599;1,211392737;1,276033908;0,550952558
SW620;0;Mimic;1,294345011;0,249135066;1,044877153;0,675955417;0,564482202;3,267830906;1,364463056;0,863539055;1,370782805;0,560583039;0,994240424;1,4913994;1,385109468
SW620;1;Mimic;287,1290629;0,582366793;2,710076043;6,453134074;2,128740365;0,360565517;2,186060507;1,851036487;0,377618146;10,89051293;0,769325838;9,590903085;0,11072094
SW620;1;Mimic;563,0901961;2,121375483;5,669939469;0,348685917;0,65747138;0,718636109;0,306367111;0,154249031;0,734584317;1,028113827;1,050930065;1,198862886;0,303548721
SW620;1;Mimic;2525,270507;2,281527432;0,713672127;7,808254086;0,71449707;2,351095813;14,35352654;0,98851402;1,607701981;1,505246747;1,004631674;2,587693356;0,252612862
SW620;0;Inhibitor;1,10275409;0,561879758;1,32408891;1,197478705;1,057018041;0,753493341;0,206135754;0,313890514;1,419123356;2,635968871;1,076737568;1,715148311;0,516437858
SW620;0;Inhibitor;1,045682189;1,171480819;0,798298386;0,662044455;1,180992661;2,002311826;2,73523856;0,330640037;0,530343871;0,925518243;1,158025215;0,96482108;2,605692186
SW620;0;Inhibitor;0,867204678;1,519222664;0,946057647;1,261377409;0,801069878;0,662809721;1,773582778;9,635325025;1,328685814;0,409896999;0,801995845;0,604298528;0,743119775
SW620;1;Inhibitor;0,025549599;1,883392035;1,664397469;1,783857039;5,063026376;5,211384373;2,688248799;0,608501757;3,567714078;10,54387548;1,792119284;4,751336329;8,064956023
SW620;1;Inhibitor;0,005796688;1,104454001;1;1,361314116;7,438439541;3,109465621;0,165129143;0,424351986;2,07E-06;2,654303485;1,190581735;3,33649498;4,458834546
SW620;1;Inhibitor;0,006544254;0,985094022;1,105730653;1,351910833;1,635804117;1,701334322;0,454284084;0,283876107;1,021012126;2,294744186;0,953739165;2,485150689;1,298338588
